°C	ಸೆಲ್ಸಿಯಸ್
°C	ಸೆಂಟಿಗ್ರೇಡ್
°C	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್
°C	ಡಿಗ್ರಿ ಸೆಂಟಿಗ್ರೇಡ್
°F	ಫ್ಯಾರನ್ಹೀಟ್
°F	ಡಿಗ್ರಿ ಫ್ಯಾರನ್‌ಹೀಟ್
K	ಕೆಲ್ವಿನ್
g	ಗ್ರಾಂ
kg	ಕಿಲೋಗ್ರಾಂ
kg	ಕಿಲೋ ಗ್ರಾಂ
mg	ಮಿಲಿಗ್ರಾಂ
mg	ಮಿಲಿ ಗ್ರಾಂ
cg	ಸೆಂಟಿಗ್ರಾಂ
cg	ಸೆಂಟಿ ಗ್ರಾಂ
dg	ಡೆಸಿಗ್ರಾಂ
dg	ಡೆಸಿ ಗ್ರಾಂ
Tg	ಟೆರಾಗ್ರಾಂ
Tg	ಟೆರಾ ಗ್ರಾಂ
Mg	ಮೆಗಾಗ್ರಾಂ
Mg	ಮೆಗಾ ಗ್ರಾಂ
Gg	ಗಿಗಾಗ್ರಾಂ
Gg	ಗಿಗಾ ಗ್ರಾಂ
hg	ಹೆಕ್ಟೋಗ್ರಾಂ
hg	ಹೆಕ್ಟೋ ಗ್ರಾಂ
dag	ಡೆಕಾಗ್ರಾಂ
dag	ಡೆಕಾ ಗ್ರಾಂ
lb	ಪೌಂಡ್
oz	ಔನ್ಸ್
t	ಟನ್
t	ಮೆಟ್ರಿಕ್ ಟನ್
st	ಕಲ್ಲು
q	ಕ್ವಿಂಟಾಲ್
m	ಮೀಟರ್
m	ಮೀಟರ್
cm	ಸೆಂಟಿಮೀಟರ್
cm	ಸೆಂಟಿ ಮೀಟರ್
mm	ಮಿಲಿಮೀಟರ್
mm	ಮಿಲಿ ಮೀಟರ್
km	ಕಿಲೋಮೀಟರ್
km	ಕಿಲೋ ಮೀಟರ್
dm	ಡೆಸಿಮೀಟರ್
dm	ಡೆಸಿ ಮೀಟರ್
dam	ಡೆಕಾಮೀಟರ್
dam	ಡೆಕಾ ಮೀಟರ್
nm	ನ್ಯಾನೋಮೀಟರ್
nm	ನ್ಯಾನೋ ಮೀಟರ್
hm	ಹೆಕ್ಟೋಮೀಟರ್
hm	ಹೆಕ್ಟೋ ಮೀಟರ್
Mm	ಮೆಗಾಮೀಟರ್
Mm	ಮೆಗಾ ಮೀಟರ್
mi	ಮೈಲು
mi	ಮೈಲುಗಳು
in	ಇಂಚು
